ID,Categoría,Nombre_Entidades_Responsables,ConjuntoAnticorrupción - PIDA_de_Datos,Descripción,Sistema_de_Información,Publicado,Enlace_Publicado,Dato_abierto,Enlace Portal de Datos Abiertos,Fecha de ultima actualización (dd/mm/aaaa),Estado_Portal_Datos_Abiertos,Recomendación
91,Anticorrupción - PIDA,Senado de la República y Cámara de Representantes,Registro de proyectos gubernamentales,"Un registro de los principales proyectos gubernamentales que se implementarán o que se están implementando. Por ejemplo, infraestructura o proyectos educativos.",ND,SI,Disponible https://www.datos.gov.co/dataset/Proyectos-de-ley-del-Senado-de-la-Republica/feim-cysj/data,SI,https://www.datos.gov.co/dataset/Proyectos-de-ley-del-Senado-de-la-Republica/feim-cysj/data,06/07/2020,Publicado en el portal de datos abiertos,
77,Anticorrupción - PIDA,Departamento Administrativo de la Función Pública,Declaración de Intereses,Repositorio de datos con información  sobre los intereses financieros y no financieros de los servidores públicos.,SIGEP,NO,No disponible en el portal de datos abiertos datos.gov.co,SI,https://www.datos.gov.co/Funci-n-p-blica/Declaraciones-conflictos-de-inter-s/gbry-rnq4,,Publicado en el portal de datos abiertos,
69,Anticorrupción - PIDA,Departamento Nacional de Planeación,Alianzas público privadas,Datos sobre todas las asociaciones público-privadas que han sido acordadas por un gobierno,RUAPP,SI,"No disponible en el portal de datos abiertos datos.gov.co, disponible en página web http://www.cnecuentasclaras.gov.co/",SI,https://www.datos.gov.co/Estad-sticas-Nacionales/DNP-Asociaciones-P-blico-Privadas/tmk8-iihq,12/12/2022,Publicado en el portal de datos abiertos,
64,Anticorrupción - PIDA,Departamento Administrativo de la Función Pública,Equipo consejero de alto gobierno,Repositorio de datos que identifica cada consejo asesor o junta directiva al gobierno.,ND,SI,disponible en página web https://dapre.presidencia.gov.co/dapre/conozca-el-dapre/funcionarios,SI,https://www.datos.gov.co/Funci-n-p-blica/Equipo-Consejero-de-Alto-Gobierno/scy2-ivah,,Publicado en el portal de datos abiertos,
65,Anticorrupción - PIDA,Consejo Nacional Electoral,Financiamiento a partidos políticos,"Datos que permiten identificar las fuentes de financiación y los donantes de políticos, partidos políticos y organizaciones similares, incluidos los datos sobre las subvenciones o pagos recibidos.",http://www.cnecuentasclaras.gov.co/,SI,"No disponible en el portal de datos abiertos datos.gov.co, disponible en página web http://www.cnecuentasclaras.gov.co/",SI,https://www.datos.gov.co/Estad-sticas-Nacionales/Base-ingresos-cuentas-claras-2019/jgra-rz2t/data,16/11/2021,Publicado en el portal de datos abiertos,
66,Anticorrupción - PIDA,Ministerio de Hacienda,Presupuesto General de la Nación,Presupuesto General de la Nación,"SIIF,
CHIP",SI,"En el escenario de portales Web del Estado, existe más de un lugar donde localizar información presupuestal. Entre otros: 
El Ministerio de Hacienda y Crédito Público publica el Presupuesto General de la Nación en formato P. 

Consolidados de Hacienda e Información Pública (CHIP) es un sistema de información que canaliza información financiera, económica, social y ambiental de los entes públicos hacia los organismos centrales y al público en general bajo la administración y responsabilidad de la Contaduría General de la Nación. Permite descarga de información en múltiples formatos: XML, XLS, CSV entre otros.

DNP ofrece datos presupuestales de forma tabular en formato P sobre entidades territoriales y también dispone del Sistema Nacional de Evaluación de Gestión y Resultados  donde se aterriza el PND que permite la exportación en Excel.",SI,https://www.datos.gov.co/Hacienda-y-Cr-dito-P-blico/Ejecuci-n-Presupuestal-del-Presupuesto-General-de-/xjxk-qhsc,,Publicado en el portal de datos abiertos,
67,Anticorrupción - PIDA,Colombia Compra Eficiente,Procesos de Adquisición,"El repositorio de datos que identifica cada oportunidad para un contrato público, describe el proceso que se siguió para adjudicarse, como las licitaciones.",SECOP,SI,Disponible en el portal nacional  de datos abiertos https://www.datos.gov.co/Gastos-Gubernamentales/Plan-Anual-de-Adquisiciones-SECOP-II/ep-tdwk y https://www.datos.gov.co/Gastos-Gubernamentales/Plan-Anual-de-Adquisiciones-SECOP-I/sit3-h7ku,SI,"https://www.datos.gov.co/Gastos-Gubernamentales/Plan-Anual-de-Adquisiciones-SECOP-II/ep-tdwk 
https://www.datos.gov.co/Gastos-Gubernamentales/Plan-Anual-de-Adquisiciones-SECOP-I/sit3-h7ku",25/03/2021,Publicado en el portal de datos abiertos,
68,Anticorrupción - PIDA,"Autoridad Nacional de Licencias Ambientales ANLA
Ministerio de Transporte
Ministerio de Justicia","Licencias Ambientales
Licencias de Conducción
Licencias de Cannabis otorgadas por el Ministerio de Justicia y del Derecho
Licencia Minería",Repositorio de datos que permite identificar cada licencia o permiso otorgado por un gobierno a un individuo u organización para participar en un determinado negocio o realizar una actividad específica.,"ANLA, RUNT",SI,"Disponible parcialmente en el portal nacional de datos abiertos Base de datos de licencias ambientales https://www.datos.gov.co/d/fehs-ifhi, en el portal no esta disponible en la base de datos del RUNT",SI,"Disponible parcialmente en el portal nacional de datos abiertos 
Licencias ambientales https://www.datos.gov.co/d/fehs-ifhi
Licencias de Canabis https://www.datos.gov.co/Justicia-y-Derecho/Licencias-de-Cannabis-otorgadas-por-el-Ministerio-/9m2f-pdxx
Licencias de conducción NO DISPONIBLE

https://www.datos.gov.co/Ambiente-y-Desarrollo-Sostenible/-reas-Licenciadas-Miner-a/c3hr-3kws",13/08/2020,Publicado en el portal de datos abiertos,
70,Anticorrupción - PIDA,Ministerio de Hacienda,Gasto público desagregado de las entidades del orden Nacional,Gasto público desagregado de las entidades del orden Nacional,SIIF,SI,"La principal fuente de datos sobre gasto público se expone a través del Portal de Transparencia Económica que gestiona el Ministerio de Hacienda y Crédito Público. Los datos que se publican provienen del sistema SIIF. En él se publica: 
Ingresos, Gastos, Contrataciones, Regionalización Contabilidad. 
La granularidad de la información desciende a nivel de año,  sector y entidad. El portal permite exportar datos en formato Excel. Este portal utiliza las mismas condiciones y términos de uso del portal del Ministerio de Hacienda y Crédito Público, con lo cual hereda sus restricciones de reutilización.",SI,https://www.datos.gov.co/Econom-a-y-Finanzas/Ejecuci-n-Presupuestal-por-Sector/vt2w-ctiv,13/09/2017,Publicado en el portal de datos abiertos,
71,Anticorrupción - PIDA,El Instituto Colombiano de Crédito Educativo y Estudios Técnicos en el Exterior Mariano Ospina Pérez - ICETEX,Becas o Subsidios de gobierno,Se refiere a datos sobre donaciones y otro tipo de contribuciones que un gobierno ha otorgado a diferentes organizaciones o individuos.,ND,SI,Disponible en el portal nacional  de datos abiertos https://www.datos.gov.co/en/Educaci-n/Icetex-Becas-Vigentes/9ghi-7xv6,SI,https://www.datos.gov.co/Educaci-n/Icetex-Hist-rico-de-Becas/eb6r-gr,02/03/2020,Publicado en el portal de datos abiertos,
72,Anticorrupción - PIDA,Colombia Compra Eficiente,Registro de Contratos,Repositorio de datos que identifica cada contrato público actual y pasado que ha sido firmado por una entidad gubernamental.,SECOP,SI,Disponible en el portal nacional  de datos abiertos https://www.datos.gov.co/Gastos-Gubernamentales/SECOP-Integrado/rpmr-utcd,SI,https://www.datos.gov.co/Gastos-Gubernamentales/SECOP-Integrado/rpmr-utcd,08/07/2021,Publicado en el portal de datos abiertos,
73,Anticorrupción - PIDA,Auditoria General de la nación,Datos de auditorías,Datos sobre los resultados de los procedimientos de auditoría y evaluación realizados por entidades gubernamentales externas,Sistema Integral de Auditoria,SI,Disponible en el portal nacional  de datos abiertos: https://www.datos.gov.co/Organismos-de-Control/Resultado-de-la-Ejecuci-n-del-Plan-General-de-Audi/wasc-xi4h,SI,https://www.datos.gov.co/Organismos-de-Control/Resultado-de-la-Ejecuci-n-del-Plan-General-de-Audi/wasc-xi4h,28/06/2021,Publicado en el portal de datos abiertos,
74,Anticorrupción - PIDA,Senado de la República y Cámara de Representantes,Votaciones,"Repositorio de datos que registra los votos que realizan los miembros de los órganos legislativos y colegiados individualmente, de acuerdo con su mandato. En el caso de los cuerpos legislativos, por ejemplo, los datos sobre cada voto parlamentario sobre comités, proyectos de ley y resoluciones deben estar claramente identificados. Se pueden incluir datos adicionales sobre la justificación de la votación.",ND,SI,https://www.datos.gov.co/Funci-n-p-blica/VOTACIONES-SESIONES-PLENARIA-SENADO-DE-LA-REPUBLIC/ucmr-52,SI,https://www.datos.gov.co/Funci-n-p-blica/VOTACIONES-SESIONES-PLENARIA-SENADO-DE-LA-REPUBLIC/ucmr-52,02/07/2021,Publicado en el portal de datos abiertos,
75,Anticorrupción - PIDA,"Fiscalía General de la Nación
Contraloria General de la Nación","Decisiones judiciales
Actuaciones por noticia criminal y delito registradas en el Sistema Penal Oral Acusatorio","Registros sobre las decisiones legales tomadas por el poder judicial, así como también sobre los casos procesados.
Total de actuaciones por delito al Sistema Penal Oral Acusatorio en la Ley 906 de 2004 y Ley 1098 de 2006.",SPOA,SI,Disponible en https://www.fiscalia.gov.co/colombia/la-entidad/sistema-penal-oral-acusatorio/ y en el portal de datos abiertos,SI,https://www.datos.gov.co/d/4ycq-zyy8,05/12/2018,Publicado en el portal de datos abiertos,
76,Anticorrupción - PIDA,"Senado de la República
Cámara de Representantes",Registro de cabildeo,"Datos que permiten identificar y describir a las personas y organizaciones que actúan como cabilderos (es decir, representan o actúan en nombre de determinado grupo).",ND,NO,Se publican las UTL  y los presupuestos,PARCIAL,"https://www.datos.gov.co/Organismos-de-Control/Base-de-datos-de-Miembros-UTL-C-mara-de-Representa/4qhz-8k7m
https://www.datos.gov.co/Organismos-de-Control/Base-de-datos-Presupuesto-C-mara-de-Representantes/c6-wwyx",,Publicado,NA
78,Anticorrupción - PIDA,Confecámaras,RUES - Registro Único Empresarial,Registro de información de los registros públicos a cargo de las cámaras de comercio,RUES,SI,https://www.rues.org.co/,SI,https://www.datos.gov.co/Comercio-Industria-y-Turismo/Personas-Naturales-Personas-Jur-dicas-y-Entidades-/c82u-588k/data,23/05/2022,Publicado en el portal de datos abiertos,
79,Anticorrupción - PIDA,Dirección de Impuestos y Aduanas Nacionales,Registro de caridad - organizaciones benéficas,Repositorio de datos sobre cada organización benéfica o sin fines de lucro legalmente registrada para operar dentro de una jurisdicción y que podría acceder a un estado fiscal o fiscal específico.,ND,SI,Disponible parcialmente en https://www.dian.gov.co/impuestos/sociedades/ESAL/Documents/ESAL-que-actualizaron-el-registro-web-AG-2020.xlsx,SI,https://www.datos.gov.co/Hacienda-y-Cr-dito-P-blico/Entidades-sin-nimo-de-Lucro-del-R-gimen-Tributario/8tdc-u2ga,28/12/2022,Publicado en el portal de datos abiertos,
80,Anticorrupción - PIDA,"Departamento Administrativo de la Función Pública
Unidad de Información y Análisis Financiero UIAF",Puestos sensibles a la corrupción,"Lista de puestos dentro del gobierno que, en función de su mandato, pueden ser propensos o sensibles a la corrupción, como la contratación pública.",ND,SI,Disponible parcial https://www.uiaf.gov.co/transparencia/informacion_interes/glosario/personas_politicamente_expuestas_7122,SI,https://www.datos.gov.co/Funci-n-p-blica/Puestos-Sensibles-a-la-Corrupci-n/5u9e-g5w9,,Publicado en el portal de datos abiertos,
92,Anticorrupción - PIDA,Agencia Presidencial de Cooperación Internacional,Ayuda internacional y financiamiento,"Repositorio de datos que permite identificar cualquier tipo de recurso de ayuda otorgado por un donante, como un gobierno o agencia de desarrollo, a un destinatario específico. Los datos deben incluir el monto, la modalidad y la fecha en que se otorgaron y deben permitir vincularlo a actividades y gastos relacionados con dicha ayuda.",ND,SI,"Disponible https://www.datos.gov.co/Funci-n-p-blica/GESTI-N-DE-DEMANDA-DE-COOPERACI-N-INTERNACIONAL/uk3f-jn7v

https://www.irc.gov.co/webcenter/ShowProperty?nodeId=%2FConexionContent%2FWCC_CLUSTER-125596%2F%2FidcPrimaryFile&revision=latestreleased (Min hacienda)

https://www.irc.gov.co/webcenter/ShowProperty?nodeId=%2FConexionContent%2FWCC_CLUSTER-125591%2F%2FidcPrimaryFile&revision=latestreleased (Min hacienda)",SI,https://www.datos.gov.co/Funci-n-p-blica/RECURSOS-DE-COOPERACI-N-INTERNACIONAL-NO-REEMBOLSA/2d3i-f9wd/data,04/08/2021,Publicado en el portal de datos abiertos,
93,Anticorrupción - PIDA,Colombia Compra Eficiente,Quejas a procesos de adquisición,Registro de quejas cumplimentadas por empresas durante los procedimientos de contratación pública e información sobre su investigación y resultados.,SECOP,SI,Disponible en el portal nacional de datos abiertos datos.gov.co https://www.datos.gov.co/Gastos-Gubernamentales/Multas-y-Sanciones-SECOP-I/4n4q-k399,SI,https://www.datos.gov.co/Gastos-Gubernamentales/Multas-y-Sanciones-SECOP-I/4n4q-k399,06/07/2021,Publicado en el portal de datos abiertos,
